time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
1970/01/01/01:02:55.540000,3505,175,510000000,world,20.823856407342287,4.408597980170563,-16.18436054762749,0.020253458426513233,0.0005532653791174731,0.9715236077011857,-0.23607492666197802
1970/01/01/01:02:55.600000,3506,175,560000000,world,20.807806951267487,4.405132809896138,-16.18810142158914,0.020045509149031727,0.00040448367489101983,0.9720888109617102,-0.23375490916547917
1970/01/01/01:02:55.670000,3507,175,610000000,world,20.79213955184327,4.401700814472114,-16.192003206403587,0.0198504863938171,0.00019948517797541246,0.972450186471276,-0.23226397315893277
1970/01/01/01:02:55.670000,3508,175,660000000,world,20.776849462448762,4.3983068376660786,-16.19591509152568,0.0196292126168101,0.00010337987973135523,0.9725446907798792,-0.23188684257739564
1970/01/01/01:02:55.730000,3509,175,710000000,world,20.761924049521735,4.39495177215762,-16.19987168377278,0.019371786219935856,0.0001480078230509947,0.9723180008807658,-0.23285707452333124
1970/01/01/01:02:55.760000,3510,175,760000000,world,20.747350162274678,4.391635000113072,-16.20391815550981,0.01907884658035897,0.00032725168096793913,0.9717400865003043,-0.23528088491817897
1970/01/01/01:02:55.810000,3511,175,810000000,world,20.733120064907254,4.388353817237056,-16.207900797049042,0.01878790002874767,0.0005079837792384556,0.9709995100785678,-0.2383415788153028
1970/01/01/01:02:55.870000,3512,175,860000000,world,20.719226724321068,4.385103952448108,-16.21168871617002,0.01852215850861784,0.0006072936519745627,0.9702811482477915,-0.24126967110175532
1970/01/01/01:02:55.920000,3513,175,910000000,world,20.705660595404293,4.381882898074251,-16.215322271840034,0.018284793305165702,0.0006056684609428001,0.9696286211910399,-0.24389677420307526
1970/01/01/01:02:55.980000,3514,175,960000000,world,20.69241454460197,4.378690897655687,-16.218832601280102,0.018078141599711786,0.0004926422045767038,0.9690884969003949,-0.24604963579589476
1970/01/01/01:02:56.040000,3515,176,10000000,world,20.67948418795178,4.375528320691319,-16.222167279324754,0.017871685287458895,0.0003954315639115165,0.9687348246746622,-0.24745360365413155
1970/01/01/01:02:56.090000,3516,176,60000000,world,20.666863639775787,4.372394523036929,-16.225310202125,0.017652190410197284,0.00036873085491714527,0.9686439267998566,-0.24782495291038154
1970/01/01/01:02:56.150000,3517,176,110000000,world,20.654540715171134,4.369289400961369,-16.22828871673501,0.017409511351444758,0.00045975650788728634,0.9688785215112575,-0.2469232838203333
